B01003_001E,NAME,GEOID,state,county
55136,"Autauga County, Alabama",05000US01001,01,001
191205,"Baldwin County, Alabama",05000US01003,01,003
27119,"Barbour County, Alabama",05000US01005,01,005
22653,"Bibb County, Alabama",05000US01007,01,007
57645,"Blount County, Alabama",05000US01009,01,009
10693,"Bullock County, Alabama",05000US01011,01,011
20523,"Butler County, Alabama",05000US01013,01,013
117186,"Calhoun County, Alabama",05000US01015,01,015
34091,"Chambers County, Alabama",05000US01017,01,017
26042,"Cherokee County, Alabama",05000US01019,01,019
43781,"Chilton County, Alabama",05000US01021,01,021
13546,"Choctaw County, Alabama",05000US01023,01,023
25331,"Clarke County, Alabama",05000US01025,01,025
13617,"Clay County, Alabama",05000US01027,01,027
14990,"Cleburne County, Alabama",05000US01029,01,029
50726,"Coffee County, Alabama",05000US01031,01,031
54491,"Colbert County, Alabama",05000US01033,01,033
12985,"Conecuh County, Alabama",05000US01035,01,035
11247,"Coosa County, Alabama",05000US01037,01,037
37881,"Covington County, Alabama",05000US01039,01,039
13938,"Crenshaw County, Alabama",05000US01041,01,041
80668,"Cullman County, Alabama",05000US01043,01,043
50013,"Dale County, Alabama",05000US01045,01,045
42743,"Dallas County, Alabama",05000US01047,01,047
71074,"DeKalb County, Alabama",05000US01049,01,049
80321,"Elmore County, Alabama",05000US01051,01,051
38042,"Escambia County, Alabama",05000US01053,01,053
104126,"Etowah County, Alabama",05000US01055,01,055
17019,"Fayette County, Alabama",05000US01057,01,057
31663,"Franklin County, Alabama",05000US01059,01,059
26816,"Geneva County, Alabama",05000US01061,01,061
8798,"Greene County, Alabama",05000US01063,01,063
15393,"Hale County, Alabama",05000US01065,01,065
17270,"Henry County, Alabama",05000US01067,01,067
103079,"Houston County, Alabama",05000US01069,01,069
53012,"Jackson County, Alabama",05000US01071,01,071
658834,"Jefferson County, Alabama",05000US01073,01,073
14268,"Lamar County, Alabama",05000US01075,01,075
92780,"Lauderdale County, Alabama",05000US01077,01,077
33835,"Lawrence County, Alabama",05000US01079,01,079
147790,"Lee County, Alabama",05000US01081,01,081
87167,"Limestone County, Alabama",05000US01083,01,083
10918,"Lowndes County, Alabama",05000US01085,01,085
20505,"Macon County, Alabama",05000US01087,01,087
343229,"Madison County, Alabama",05000US01089,01,089
20489,"Marengo County, Alabama",05000US01091,01,091
30527,"Marion County, Alabama",05000US01093,01,093
94121,"Marshall County, Alabama",05000US01095,01,095
414045,"Mobile County, Alabama",05000US01097,01,097
22509,"Monroe County, Alabama",05000US01099,01,099
228850,"Montgomery County, Alabama",05000US01101,01,101
119744,"Morgan County, Alabama",05000US01103,01,103
10203,"Perry County, Alabama",05000US01105,01,105
19629,"Pickens County, Alabama",05000US01107,01,107
33216,"Pike County, Alabama",05000US01109,01,109
22724,"Randolph County, Alabama",05000US01111,01,111
56980,"Russell County, Alabama",05000US01113,01,113
85242,"St. Clair County, Alabama",05000US01115,01,115
201168,"Shelby County, Alabama",05000US01117,01,117
13433,"Sumter County, Alabama",05000US01119,01,119
81673,"Talladega County, Alabama",05000US01121,01,121
41295,"Tallapoosa County, Alabama",05000US01123,01,123
198670,"Tuscaloosa County, Alabama",05000US01125,01,125
66211,"Walker County, Alabama",05000US01127,01,127
17137,"Washington County, Alabama",05000US01129,01,129
11367,"Wilcox County, Alabama",05000US01131,01,131
24256,"Winston County, Alabama",05000US01133,01,133
3296,"Aleutians East Borough, Alaska",05000US02013,02,013
5650,"Aleutians West Census Area, Alaska",05000US02016,02,016
298178,"Anchorage Municipality, Alaska",05000US02020,02,020
17576,"Bethel Census Area, Alaska",05000US02050,02,050
995,"Bristol Bay Borough, Alaska",05000US02060,02,060
2048,"Denali Borough, Alaska",05000US02068,02,068
4956,"Dillingham Census Area, Alaska",05000US02070,02,070
99319,"Fairbanks North Star Borough, Alaska",05000US02090,02,090
2557,"Haines Borough, Alaska",05000US02100,02,100
2126,"Hoonah-Angoon Census Area, Alaska",05000US02105,02,105
32200,"Juneau City and Borough, Alaska",05000US02110,02,110
56687,"Kenai Peninsula Borough, Alaska",05000US02122,02,122
13676,"Ketchikan Gateway Borough, Alaska",05000US02130,02,130
13924,"Kodiak Island Borough, Alaska",05000US02150,02,150
1490,"Lake and Peninsula Borough, Alaska",05000US02164,02,164
93843,"Matanuska-Susitna Borough, Alaska",05000US02170,02,170
9792,"Nome Census Area, Alaska",05000US02180,02,180
9618,"North Slope Borough, Alaska",05000US02185,02,185
7672,"Northwest Arctic Borough, Alaska",05000US02188,02,188
3212,"Petersburg Borough, Alaska",05000US02195,02,195
6356,"Prince of Wales-Hyder Census Area, Alaska",05000US02198,02,198
8957,"Sitka City and Borough, Alaska",05000US02220,02,220
996,"Skagway Municipality, Alaska",05000US02230,02,230
7044,"Southeast Fairbanks Census Area, Alaska",05000US02240,02,240
9685,"Valdez-Cordova Census Area, Alaska",05000US02261,02,261
7778,"Wade Hampton Census Area, Alaska",05000US02270,02,270
2383,"Wrangell City and Borough, Alaska",05000US02275,02,275
635,"Yakutat City and Borough, Alaska",05000US02282,02,282
5651,"Yukon-Koyukuk Census Area, Alaska",05000US02290,02,290
72142,"Apache County, Arizona",05000US04001,04,001
130807,"Cochise County, Arizona",05000US04003,04,003
135817,"Coconino County, Arizona",05000US04005,04,005
53242,"Gila County, Arizona",05000US04007,04,007
37311,"Graham County, Arizona",05000US04009,04,009
8800,"Greenlee County, Arizona",05000US04011,04,011
20348,"La Paz County, Arizona",05000US04012,04,012
3947382,"Maricopa County, Arizona",05000US04013,04,013
202482,"Mohave County, Arizona",05000US04015,04,015
107489,"Navajo County, Arizona",05000US04017,04,017
993144,"Pima County, Arizona",05000US04019,04,019
390160,"Pinal County, Arizona",05000US04021,04,021
47250,"Santa Cruz County, Arizona",05000US04023,04,023
213689,"Yavapai County, Arizona",05000US04025,04,025
201453,"Yuma County, Arizona",05000US04027,04,027
18861,"Arkansas County, Arkansas",05000US05001,05,001
21437,"Ashley County, Arkansas",05000US05003,05,003
41154,"Baxter County, Arkansas",05000US05005,05,005
232611,"Benton County, Arkansas",05000US05007,05,007
37169,"Boone County, Arkansas",05000US05009,05,009
11316,"Bradley County, Arkansas",05000US05011,05,011
5266,"Calhoun County, Arkansas",05000US05013,05,013
27626,"Carroll County, Arkansas",05000US05015,05,015
11489,"Chicot County, Arkansas",05000US05017,05,017
22800,"Clark County, Arkansas",05000US05019,05,019
15577,"Clay County, Arkansas",05000US05021,05,021
25793,"Cleburne County, Arkansas",05000US05023,05,023
8597,"Cleveland County, Arkansas",05000US05025,05,025
24400,"Columbia County, Arkansas",05000US05027,05,027
21175,"Conway County, Arkansas",05000US05029,05,029
99835,"Craighead County, Arkansas",05000US05031,05,031
61825,"Crawford County, Arkansas",05000US05033,05,033
50172,"Crittenden County, Arkansas",05000US05035,05,035
17595,"Cross County, Arkansas",05000US05037,05,037
7954,"Dallas County, Arkansas",05000US05039,05,039
12602,"Desha County, Arkansas",05000US05041,05,041
18705,"Drew County, Arkansas",05000US05043,05,043
117804,"Faulkner County, Arkansas",05000US05045,05,045
17960,"Franklin County, Arkansas",05000US05047,05,047
12218,"Fulton County, Arkansas",05000US05049,05,049
96804,"Garland County, Arkansas",05000US05051,05,051
18014,"Grant County, Arkansas",05000US05053,05,053
42970,"Greene County, Arkansas",05000US05055,05,055
22419,"Hempstead County, Arkansas",05000US05057,05,057
33277,"Hot Spring County, Arkansas",05000US05059,05,059
13685,"Howard County, Arkansas",05000US05061,05,061
36861,"Independence County, Arkansas",05000US05063,05,063
13522,"Izard County, Arkansas",05000US05065,05,065
17746,"Jackson County, Arkansas",05000US05067,05,067
74655,"Jefferson County, Arkansas",05000US05069,05,069
25791,"Johnson County, Arkansas",05000US05071,05,071
7391,"Lafayette County, Arkansas",05000US05073,05,073
