B01003_001E,NAME,GEOID,state,county,county subdivision
5668,"Marbury CCD, Autauga County, Alabama",06000US0100192106,01,001,92106
42972,"Prattville CCD, Autauga County, Alabama",06000US0100192628,01,001,92628
23580,"Bay Minette CCD, Baldwin County, Alabama",06000US0100390207,01,003,90207
46371,"Daphne CCD, Baldwin County, Alabama",06000US0100390846,01,003,90846
12169,"Elberta CCD, Baldwin County, Alabama",06000US0100390963,01,003,90963
28926,"Fairhope CCD, Baldwin County, Alabama",06000US0100391053,01,003,91053
50449,"Foley CCD, Baldwin County, Alabama",06000US0100391152,01,003,91152
25602,"Robertsdale CCD, Baldwin County, Alabama",06000US0100392754,01,003,92754
3829,"Stockton CCD, Baldwin County, Alabama",06000US0100393024,01,003,93024
4195,"Summerdale CCD, Baldwin County, Alabama",06000US0100393042,01,003,93042
3907,"Bakerhill CCD, Barbour County, Alabama",06000US0100590189,01,005,90189
4320,"Clayton CCD, Barbour County, Alabama",06000US0100590630,01,005,90630
3606,"Clio CCD, Barbour County, Alabama",06000US0100590648,01,005,90648
13417,"Eufaula CCD, Barbour County, Alabama",06000US0100591017,01,005,91017
1682,"Louisville CCD, Barbour County, Alabama",06000US0100591989,01,005,91989
12562,"Centreville-Brent CCD, Bibb County, Alabama",06000US0100790531,01,007,90531
657,"Piper-Coleanor CCD, Bibb County, Alabama",06000US0100792601,01,007,92601
9385,"West Blocton CCD, Bibb County, Alabama",06000US0100793438,01,007,93438
7007,"Blountsville CCD, Blount County, Alabama",06000US0100990333,01,009,90333
4764,"Brooksville CCD, Blount County, Alabama",06000US0100990414,01,009,90414
5246,"Clarence CCD, Blount County, Alabama",06000US0100990612,01,009,90612
3412,"Cleveland CCD, Blount County, Alabama",06000US0100990639,01,009,90639
13390,"Hayden CCD, Blount County, Alabama",06000US0100991557,01,009,91557
8775,"Locust Fork CCD, Blount County, Alabama",06000US0100991953,01,009,91953
15116,"Oneonta CCD, Blount County, Alabama",06000US0100992439,01,009,92439
1014,"Fitzpatrick CCD, Bullock County, Alabama",06000US0101191098,01,011,91098
1949,"Inverness CCD, Bullock County, Alabama",06000US0101191701,01,011,91701
1989,"Midway CCD, Bullock County, Alabama",06000US0101192133,01,011,92133
5726,"Union Springs CCD, Bullock County, Alabama",06000US0101193249,01,011,93249
1839,"Chapman CCD, Butler County, Alabama",06000US0101390540,01,013,90540
1516,"Forest Home CCD, Butler County, Alabama",06000US0101391170,01,013,91170
4153,"Georgiana-McKenzie CCD, Butler County, Alabama",06000US0101391314,01,013,91314
12846,"Greenville CCD, Butler County, Alabama",06000US0101391422,01,013,91422
11813,"Alexandria-Webster Chapel CCD, Calhoun County, Alabama",06000US0101590066,01,015,90066
67330,"Anniston CCD, Calhoun County, Alabama",06000US0101590099,01,015,90099
7063,"Choccolocco CCD, Calhoun County, Alabama",06000US0101590585,01,015,90585
18703,"Jacksonville CCD, Calhoun County, Alabama",06000US0101591746,01,015,91746
4760,"Ohatchee CCD, Calhoun County, Alabama",06000US0101592430,01,015,92430
6979,"Piedmont CCD, Calhoun County, Alabama",06000US0101592556,01,015,92556
2941,"Five Points CCD, Chambers County, Alabama",06000US0101791107,01,017,91107
5073,"La Fayette CCD, Chambers County, Alabama",06000US0101791818,01,017,91818
10413,"Lanett CCD, Chambers County, Alabama",06000US0101791827,01,017,91827
936,"Milltown CCD, Chambers County, Alabama",06000US0101792169,01,017,92169
13316,"Valley CCD, Chambers County, Alabama",06000US0101793272,01,017,93272
1400,"Waverly CCD, Chambers County, Alabama",06000US0101793393,01,017,93393
7889,"Cedar Bluff-Gaylesville CCD, Cherokee County, Alabama",06000US0101990513,01,019,90513
8707,"Centre CCD, Cherokee County, Alabama",06000US0101990522,01,019,90522
5248,"Leesburg CCD, Cherokee County, Alabama",06000US0101991854,01,019,91854
4164,"Spring Garden CCD, Cherokee County, Alabama",06000US0101992983,01,019,92983
13945,"Clanton CCD, Chilton County, Alabama",06000US0102190603,01,021,90603
3357,"Isabella-Pletcher CCD, Chilton County, Alabama",06000US0102191710,01,021,91710
14777,"Jemison CCD, Chilton County, Alabama",06000US0102191764,01,021,91764
2898,"Maplesville CCD, Chilton County, Alabama",06000US0102192097,01,021,92097
3800,"Mineral Springs CCD, Chilton County, Alabama",06000US0102192178,01,021,92178
5042,"Verbena CCD, Chilton County, Alabama",06000US0102193285,01,021,93285
4313,"Butler CCD, Choctaw County, Alabama",06000US0102390441,01,023,90441
3750,"Gilbertown-Toxey CCD, Choctaw County, Alabama",06000US0102391332,01,023,91332
3024,"Lisman CCD, Choctaw County, Alabama",06000US0102391908,01,023,91908
2308,"Silas CCD, Choctaw County, Alabama",06000US0102392925,01,023,92925
1607,"Coffeeville CCD, Clarke County, Alabama",06000US0102590675,01,025,90675
1319,"Fulton CCD, Clarke County, Alabama",06000US0102591260,01,025,91260
4894,"Grove Hill CCD, Clarke County, Alabama",06000US0102591440,01,025,91440
8219,"Jackson CCD, Clarke County, Alabama",06000US0102591726,01,025,91726
6245,"Thomasville CCD, Clarke County, Alabama",06000US0102593132,01,025,93132
2786,"Walker Springs CCD, Clarke County, Alabama",06000US0102593362,01,025,93362
6125,"Ashland CCD, Clay County, Alabama",06000US0102790126,01,027,90126
5151,"Lineville CCD, Clay County, Alabama",06000US0102791899,01,027,91899
2261,"Millerville-Hollins CCD, Clay County, Alabama",06000US0102792142,01,027,92142
2597,"Fruithurst CCD, Cleburne County, Alabama",06000US0102991251,01,029,91251
7357,"Heflin CCD, Cleburne County, Alabama",06000US0102991593,01,029,91593
5048,"Ranburne CCD, Cleburne County, Alabama",06000US0102992682,01,029,92682
6407,"Elba CCD, Coffee County, Alabama",06000US0103190954,01,031,90954
36569,"Enterprise CCD, Coffee County, Alabama",06000US0103190999,01,031,90999
2236,"Goodman CCD, Coffee County, Alabama",06000US0103191341,01,031,91341
2196,"Jack CCD, Coffee County, Alabama",06000US0103191719,01,031,91719
1567,"Kinston CCD, Coffee County, Alabama",06000US0103191800,01,031,91800
1909,"Victoria CCD, Coffee County, Alabama",06000US0103193303,01,031,93303
3973,"Cherokee CCD, Colbert County, Alabama",06000US0103390567,01,033,90567
8350,"Leighton CCD, Colbert County, Alabama",06000US0103391863,01,033,91863
7915,"Littleville CCD, Colbert County, Alabama",06000US0103391926,01,033,91926
34206,"Tri-Cities CCD, Colbert County, Alabama",06000US0103393186,01,033,93186
3706,"Castleberry CCD, Conecuh County, Alabama",06000US0103590504,01,035,90504
5297,"Evergreen CCD, Conecuh County, Alabama",06000US0103591044,01,035,91044
1731,"Lyeffion CCD, Conecuh County, Alabama",06000US0103592016,01,035,92016
1585,"Repton CCD, Conecuh County, Alabama",06000US0103592718,01,035,92718
546,"Shreve CCD, Conecuh County, Alabama",06000US0103592916,01,035,92916
3984,"Goodwater-Kellyton CCD, Coosa County, Alabama",06000US0103791350,01,037,91350
3322,"Rockford CCD, Coosa County, Alabama",06000US0103792763,01,037,92763
3721,"Weogufka-Marble Valley CCD, Coosa County, Alabama",06000US0103793429,01,037,93429
18650,"Andalusia CCD, Covington County, Alabama",06000US0103990090,01,039,90090
1783,"Falco CCD, Covington County, Alabama",06000US0103991062,01,039,91062
3506,"Florala CCD, Covington County, Alabama",06000US0103991134,01,039,91134
9904,"Opp CCD, Covington County, Alabama",06000US0103992448,01,039,92448
4043,"Rose Hill-Gantt CCD, Covington County, Alabama",06000US0103992781,01,039,92781
3182,"Brantley CCD, Crenshaw County, Alabama",06000US0104190360,01,041,90360
6774,"Luverne CCD, Crenshaw County, Alabama",06000US0104192007,01,041,92007
3982,"Petrey-Highland Home CCD, Crenshaw County, Alabama",06000US0104192529,01,041,92529
5481,"Baileyton-Joppa CCD, Cullman County, Alabama",06000US0104390180,01,043,90180
8506,"Bremen CCD, Cullman County, Alabama",06000US0104390369,01,043,90369
2422,"Crane Hill CCD, Cullman County, Alabama",06000US0104390774,01,043,90774
25640,"Cullman CCD, Cullman County, Alabama",06000US0104390810,01,043,90810
6936,"Hanceville CCD, Cullman County, Alabama",06000US0104391521,01,043,91521
4726,"Holly Pond CCD, Cullman County, Alabama",06000US0104391647,01,043,91647
4257,"Jones Chapel CCD, Cullman County, Alabama",06000US0104391773,01,043,91773
4048,"Logan CCD, Cullman County, Alabama",06000US0104391962,01,043,91962
7312,"Simcoe CCD, Cullman County, Alabama",06000US0104392934,01,043,92934
9345,"Vinemont CCD, Cullman County, Alabama",06000US0104393330,01,043,93330
2292,"Welti CCD, Cullman County, Alabama",06000US0104393420,01,043,93420
11800,"Daleville CCD, Dale County, Alabama",06000US0104590828,01,045,90828
2357,"Echo CCD, Dale County, Alabama",06000US0104590936,01,045,90936
4895,"Fort Rucker CCD, Dale County, Alabama",06000US0104591215,01,045,91215
9491,"Newton-Midland City CCD, Dale County, Alabama",06000US0104592376,01,045,92376
21323,"Ozark CCD, Dale County, Alabama",06000US0104592466,01,045,92466
580,"Carlowville CCD, Dallas County, Alabama",06000US0104790486,01,047,90486
2466,"Orrville CCD, Dallas County, Alabama",06000US0104792457,01,047,92457
617,"Safford CCD, Dallas County, Alabama",06000US0104792808,01,047,92808
1468,"Sardis CCD, Dallas County, Alabama",06000US0104792844,01,047,92844
31382,"Selma CCD, Dallas County, Alabama",06000US0104792880,01,047,92880
5641,"Selmont-Tyler CCD, Dallas County, Alabama",06000US0104792883,01,047,92883
4937,"Collinsville CCD, DeKalb County, Alabama",06000US0104990693,01,049,90693
8952,"Crossville CCD, DeKalb County, Alabama",06000US0104990792,01,049,90792
18539,"Fort Payne CCD, DeKalb County, Alabama",06000US0104991206,01,049,91206
5287,"Fyffe CCD, DeKalb County, Alabama",06000US0104991269,01,049,91269
6383,"Geraldine CCD, DeKalb County, Alabama",06000US0104991323,01,049,91323
3349,"Henagar CCD, DeKalb County, Alabama",06000US0104991611,01,049,91611
6326,"Ider CCD, DeKalb County, Alabama",06000US0104991692,01,049,91692
13177,"Rainsville-Sylvania CCD, DeKalb County, Alabama",06000US0104992655,01,049,92655
4118,"Valley Head-Mentone CCD, DeKalb County, Alabama",06000US0104993276,01,049,93276
9665,"Deatsville CCD, Elmore County, Alabama",06000US0105190855,01,051,90855
6887,"Eclectic CCD, Elmore County, Alabama",06000US0105190945,01,051,90945
27648,"Elmore CCD, Elmore County, Alabama",06000US0105190972,01,051,90972
7016,"Tallassee CCD, Elmore County, Alabama",06000US0105193087,01,051,93087
4693,"Titus CCD, Elmore County, Alabama",06000US0105193141,01,051,93141
24854,"Wetumpka CCD, Elmore County, Alabama",06000US0105193456,01,051,93456
13163,"Atmore CCD, Escambia County, Alabama",06000US0105390153,01,053,90153
10681,"Brewton CCD, Escambia County, Alabama",06000US0105390378,01,053,90378
5523,"East Escambia CCD, Escambia County, Alabama",06000US0105390927,01,053,90927
3584,"Flomaton CCD, Escambia County, Alabama",06000US0105391125,01,053,91125
4984,"McCullough-Huxford CCD, Escambia County, Alabama",06000US0105392034,01,053,92034
4753,"Altoona CCD, Etowah County, Alabama",06000US0105590081,01,055,90081
71378,"Gadsden CCD, Etowah County, Alabama",06000US0105591278,01,055,91278
9292,"Hokes Bluff CCD, Etowah County, Alabama",06000US0105591638,01,055,91638
2724,"Lookout Mountain CCD, Etowah County, Alabama",06000US0105591980,01,055,91980
10212,"Mountainboro CCD, Etowah County, Alabama",06000US0105592268,01,055,92268
3859,"Turkeytown CCD, Etowah County, Alabama",06000US0105593213,01,055,93213
1548,"Wills Valley CCD, Etowah County, Alabama",06000US0105593465,01,055,93465
3824,"Berry CCD, Fayette County, Alabama",06000US0105790279,01,057,90279
8225,"Fayette CCD, Fayette County, Alabama",06000US0105791089,01,057,91089
1623,"Northeast Fayette CCD, Fayette County, Alabama",06000US0105792380,01,057,92380
3224,"Winfield-Glen Allen CCD, Fayette County, Alabama",06000US0105793495,01,057,93495
5868,"Phil Campbell CCD, Franklin County, Alabama",06000US0105992547,01,059,92547
5105,"Red Bay CCD, Franklin County, Alabama",06000US0105992691,01,059,92691
18896,"Russellville CCD, Franklin County, Alabama",06000US0105992799,01,059,92799
1765,"Vina CCD, Franklin County, Alabama",06000US0105993312,01,059,93312
2342,"Bellwood-Coffee Springs CCD, Geneva County, Alabama",06000US0106190252,01,061,90252
5669,"Geneva CCD, Geneva County, Alabama",06000US0106191305,01,061,91305
5764,"Hartford CCD, Geneva County, Alabama",06000US0106191530,01,061,91530
4815,"Samson CCD, Geneva County, Alabama",06000US0106192835,01,061,92835
8225,"Slocomb CCD, Geneva County, Alabama",06000US0106192952,01,061,92952
1371,"Boligee CCD, Greene County, Alabama",06000US0106390342,01,063,90342
3869,"Eutaw CCD, Greene County, Alabama",06000US0106391026,01,063,91026
2067,"Forkland-Tishabee CCD, Greene County, Alabama",06000US0106391179,01,063,91179
1390,"Mantua-West Greene CCD, Greene County, Alabama",06000US0106392088,01,063,92088
3783,"Greensboro CCD, Hale County, Alabama",06000US0106591413,01,065,91413
1721,"Greensboro Northeast CCD, Hale County, Alabama",06000US0106591414,01,065,91414
959,"Greensboro South CCD, Hale County, Alabama",06000US0106591415,01,065,91415
3393,"Moundville CCD, Hale County, Alabama",06000US0106592259,01,065,92259
1710,"Newbern CCD, Hale County, Alabama",06000US0106592345,01,065,92345
2178,"Sawyerville CCD, Hale County, Alabama",06000US0106592853,01,065,92853
1512,"Stewart-Akron CCD, Hale County, Alabama",06000US0106593015,01,065,93015
4861,"Abbeville CCD, Henry County, Alabama",06000US0106790009,01,067,90009
1595,"Haleburg CCD, Henry County, Alabama",06000US0106791485,01,067,91485
8154,"Headland-Newville CCD, Henry County, Alabama",06000US0106791584,01,067,91584
2642,"Shorterville CCD, Henry County, Alabama",06000US0106792907,01,067,92907
1328,"Columbia CCD, Houston County, Alabama",06000US0106990702,01,069,90702
5918,"Cottonwood CCD, Houston County, Alabama",06000US0106990747,01,069,90747
87051,"Dothan CCD, Houston County, Alabama",06000US0106990900,01,069,90900
2063,"Gordon CCD, Houston County, Alabama",06000US0106991368,01,069,91368
7174,"Madrid CCD, Houston County, Alabama",06000US0106992070,01,069,92070
3383,"Bridgeport CCD, Jackson County, Alabama",06000US0107190387,01,071,90387
5628,"Long Island CCD, Jackson County, Alabama",06000US0107191971,01,071,91971
3820,"Paint Rock CCD, Jackson County, Alabama",06000US0107192475,01,071,92475
4472,"Pisgah CCD, Jackson County, Alabama",06000US0107192610,01,071,92610
1972,"Princeton CCD, Jackson County, Alabama",06000US0107192637,01,071,92637
20597,"Scottsboro CCD, Jackson County, Alabama",06000US0107192862,01,071,92862
7090,"Section CCD, Jackson County, Alabama",06000US0107192871,01,071,92871
5898,"Stevenson CCD, Jackson County, Alabama",06000US0107193006,01,071,93006
453245,"Birmingham CCD, Jefferson County, Alabama",06000US0107390324,01,073,90324
3957,"Brookside CCD, Jefferson County, Alabama",06000US0107390405,01,073,90405
14017,"Clay CCD, Jefferson County, Alabama",06000US0107390621,01,073,90621
7851,"Concord-Rock Creek CCD, Jefferson County, Alabama",06000US0107390722,01,073,90722
22658,"Gardendale CCD, Jefferson County, Alabama",06000US0107391296,01,073,91296
10599,"Graysville-Adamsville CCD, Jefferson County, Alabama",06000US0107391404,01,073,91404
22848,"Greenwood CCD, Jefferson County, Alabama",06000US0107391431,01,073,91431
47903,"Hoover CCD, Jefferson County, Alabama",06000US0107391656,01,073,91656
9277,"Kimberly-Morris CCD, Jefferson County, Alabama",06000US0107391791,01,073,91791
16574,"Leeds CCD, Jefferson County, Alabama",06000US0107391845,01,073,91845
3630,"Maytown-Sylvan Springs CCD, Jefferson County, Alabama",06000US0107392124,01,073,92124
4772,"North Johns CCD, Jefferson County, Alabama",06000US0107392385,01,073,92385
5531,"Palmerdale CCD, Jefferson County, Alabama",06000US0107392484,01,073,92484
5383,"Robbins Crossroads CCD, Jefferson County, Alabama",06000US0107392745,01,073,92745
19586,"Trussville CCD, Jefferson County, Alabama",06000US0107393204,01,073,93204
6857,"Warrior CCD, Jefferson County, Alabama",06000US0107393366,01,073,93366
4338,"West Jefferson CCD, Jefferson County, Alabama",06000US0107393447,01,073,93447
4031,"Millport CCD, Lamar County, Alabama",06000US0107592151,01,075,92151
4853,"Sulligent CCD, Lamar County, Alabama",06000US0107593033,01,075,93033
5249,"Vernon CCD, Lamar County, Alabama",06000US0107593294,01,075,93294
6655,"Cloverdale CCD, Lauderdale County, Alabama",06000US0107790657,01,077,90657
50830,"Florence CCD, Lauderdale County, Alabama",06000US0107791143,01,077,91143
16870,"Killen CCD, Lauderdale County, Alabama",06000US0107791782,01,077,91782
4258,"Lexington CCD, Lauderdale County, Alabama",06000US0107791872,01,077,91872
3989,"Oakland CCD, Lauderdale County, Alabama",06000US0107792412,01,077,92412
8054,"Rogersville CCD, Lauderdale County, Alabama",06000US0107792772,01,077,92772
2081,"Waterloo CCD, Lauderdale County, Alabama",06000US0107793384,01,077,93384
4581,"Hatton CCD, Lawrence County, Alabama",06000US0107991548,01,079,91548
1791,"Hillsboro CCD, Lawrence County, Alabama",06000US0107991629,01,079,91629
11152,"Morris Chapel CCD, Lawrence County, Alabama",06000US0107992241,01,079,92241
7649,"Moulton CCD, Lawrence County, Alabama",06000US0107992250,01,079,92250
2001,"Mount Hope CCD, Lawrence County, Alabama",06000US0107992286,01,079,92286
2040,"Speake-Oakville CCD, Lawrence County, Alabama",06000US0107992979,01,079,92979
4372,"Town Creek-Courtland CCD, Lawrence County, Alabama",06000US0107993159,01,079,93159
87666,"Auburn-Opelika CCD, Lee County, Alabama",06000US0108190162,01,081,90162
11138,"Beauregard-Marvyn CCD, Lee County, Alabama",06000US0108190243,01,081,90243
7360,"Beulah CCD, Lee County, Alabama",06000US0108190288,01,081,90288
7874,"Loachapoka-Roxana CCD, Lee County, Alabama",06000US0108191944,01,081,91944
36944,"Smiths Station CCD, Lee County, Alabama",06000US0108192962,01,081,92962
73025,"Athens CCD, Limestone County, Alabama",06000US0108390144,01,083,90144
11922,"Mooresville CCD, Limestone County, Alabama",06000US0108392232,01,083,92232
3858,"Salem CCD, Limestone County, Alabama",06000US0108392817,01,083,92817
2117,"Benton-Collirene CCD, Lowndes County, Alabama",06000US0108590270,01,085,90270
2672,"Fort Deposit CCD, Lowndes County, Alabama",06000US0108591197,01,085,91197
3527,"Hayneville CCD, Lowndes County, Alabama",06000US0108591566,01,085,91566
815,"Lowndesboro CCD, Lowndes County, Alabama",06000US0108591998,01,085,91998
1611,"Mosses CCD, Lowndes County, Alabama",06000US0108592245,01,085,92245
680,"Fort Davis CCD, Macon County, Alabama",06000US0108791188,01,087,91188
1240,"Little Texas-Society Hill CCD, Macon County, Alabama",06000US0108791917,01,087,91917
2966,"Notasulga CCD, Macon County, Alabama",06000US0108792403,01,087,92403
2325,"Shorter-Hardaway CCD, Macon County, Alabama",06000US0108792898,01,087,92898
11819,"Tuskegee CCD, Macon County, Alabama",06000US0108793230,01,087,93230
988,"Warriorstand-Creek Stand CCD, Macon County, Alabama",06000US0108793376,01,087,93376
16334,"Gurley CCD, Madison County, Alabama",06000US0108991467,01,089,91467
12001,"Hazel Green CCD, Madison County, Alabama",06000US0108991575,01,089,91575
223789,"Huntsville CCD, Madison County, Alabama",06000US0108991674,01,089,91674
41960,"Madison CCD, Madison County, Alabama",06000US0108992052,01,089,92052
12302,"Madison Crossroads CCD, Madison County, Alabama",06000US0108992061,01,089,92061
14628,"New Hope CCD, Madison County, Alabama",06000US0108992349,01,089,92349
14642,"New Market CCD, Madison County, Alabama",06000US0108992358,01,089,92358
1662,"Redstone Arsenal CCD, Madison County, Alabama",06000US0108992695,01,089,92695
9120,"Triana CCD, Madison County, Alabama",06000US0108993176,01,089,93176
9082,"Demopolis CCD, Marengo County, Alabama",06000US0109190873,01,091,90873
2565,"Dixons Mill CCD, Marengo County, Alabama",06000US0109190882,01,091,90882
875,"Faunsdale CCD, Marengo County, Alabama",06000US0109191080,01,091,91080
4596,"Linden CCD, Marengo County, Alabama",06000US0109191890,01,091,91890
2261,"Sweet Water CCD, Marengo County, Alabama",06000US0109193051,01,091,93051
927,"Thomaston CCD, Marengo County, Alabama",06000US0109193123,01,091,93123
4476,"Bear Creek CCD, Marion County, Alabama",06000US0109390225,01,093,90225
1529,"Bexar CCD, Marion County, Alabama",06000US0109390297,01,093,90297
2405,"Brilliant CCD, Marion County, Alabama",06000US0109390396,01,093,90396
3301,"Guin CCD, Marion County, Alabama",06000US0109391449,01,093,91449
2680,"Hackleburg CCD, Marion County, Alabama",06000US0109391476,01,093,91476
10351,"Hamilton CCD, Marion County, Alabama",06000US0109391512,01,093,91512
5645,"Winfield CCD, Marion County, Alabama",06000US0109393492,01,093,93492
40130,"Albertville-Boaz CCD, Marshall County, Alabama",06000US0109590054,01,095,90054
15143,"Arab CCD, Marshall County, Alabama",06000US0109590108,01,095,90108
5721,"Douglas CCD, Marshall County, Alabama",06000US0109590918,01,095,90918
10431,"Grant CCD, Marshall County, Alabama",06000US0109591395,01,095,91395
13829,"Guntersville CCD, Marshall County, Alabama",06000US0109591458,01,095,91458
2739,"Town Creek CCD, Marshall County, Alabama",06000US0109593150,01,095,93150
6325,"Union Grove CCD, Marshall County, Alabama",06000US0109593240,01,095,93240
9244,"Bayou La Batre CCD, Mobile County, Alabama",06000US0109790216,01,097,90216
9166,"Citronelle CCD, Mobile County, Alabama",06000US0109790594,01,097,90594
32001,"Grand Bay CCD, Mobile County, Alabama",06000US0109791386,01,097,91386
240060,"Mobile CCD, Mobile County, Alabama",06000US0109792187,01,097,92187
4250,"Mount Vernon CCD, Mobile County, Alabama",06000US0109792304,01,097,92304
22175,"Semmes CCD, Mobile County, Alabama",06000US0109792889,01,097,92889
73244,"Tanner Williams CCD, Mobile County, Alabama",06000US0109793105,01,097,93105
24111,"Theodore CCD, Mobile County, Alabama",06000US0109793114,01,097,93114
1319,"Beatrice CCD, Monroe County, Alabama",06000US0109990234,01,099,90234
6827,"Frisco City CCD, Monroe County, Alabama",06000US0109991233,01,099,91233
9282,"Monroeville CCD, Monroe County, Alabama",06000US0109992196,01,099,92196
1385,"Peterman CCD, Monroe County, Alabama",06000US0109992520,01,099,92520
1597,"Uriah CCD, Monroe County, Alabama",06000US0109993267,01,099,93267
1807,"Vredenburgh CCD, Monroe County, Alabama",06000US0109993339,01,099,93339
8500,"Hope Hull CCD, Montgomery County, Alabama",06000US0110191665,01,101,91665
186235,"Montgomery CCD, Montgomery County, Alabama",06000US0110192214,01,101,92214
9664,"Mount Meigs CCD, Montgomery County, Alabama",06000US0110192295,01,101,92295
20035,"Pike Road CCD, Montgomery County, Alabama",06000US0110192565,01,101,92565
1428,"Pine Level CCD, Montgomery County, Alabama",06000US0110192592,01,101,92592
2276,"Ramer CCD, Montgomery County, Alabama",06000US0110192673,01,101,92673
6527,"Danville CCD, Morgan County, Alabama",06000US0110390837,01,103,90837
61490,"Decatur CCD, Morgan County, Alabama",06000US0110390864,01,103,90864
5884,"Eva CCD, Morgan County, Alabama",06000US0110391035,01,103,91035
5478,"Falkville CCD, Morgan County, Alabama",06000US0110391071,01,103,91071
21477,"Hartselle CCD, Morgan County, Alabama",06000US0110391539,01,103,91539
9017,"Laceys Spring CCD, Morgan County, Alabama",06000US0110391809,01,103,91809
9913,"Somerville CCD, Morgan County, Alabama",06000US0110392970,01,103,92970
97,"Hamburg CCD, Perry County, Alabama",06000US0110591503,01,105,91503
943,"Heiberger CCD, Perry County, Alabama",06000US0110591602,01,105,91602
4440,"Marion CCD, Perry County, Alabama",06000US0110592115,01,105,92115
986,"Sprott CCD, Perry County, Alabama",06000US0110592997,01,105,92997
3572,"Uniontown CCD, Perry County, Alabama",06000US0110593258,01,105,93258
5384,"Aliceville CCD, Pickens County, Alabama",06000US0110790072,01,107,90072
3784,"Carrollton CCD, Pickens County, Alabama",06000US0110790495,01,107,90495
2040,"Ethelsville CCD, Pickens County, Alabama",06000US0110791008,01,107,91008
4925,"Gordo CCD, Pickens County, Alabama",06000US0110791359,01,107,91359
3723,"Reform CCD, Pickens County, Alabama",06000US0110792700,01,107,92700
1896,"Banks-Josie CCD, Pike County, Alabama",06000US0110990198,01,109,90198
